# Location database data run 2014 Oct 7
# =====================================================================================================================
# On tethys:
#
# \f |
# \a
# select l.*,n.easting,n.northing from location_data l left outer join naptan n on l.crs=n.crscode order by location;
# =====================================================================================================================
id|location|crs|nlc|tiploc|stanox|station|delay_monitor_point|data|notes|easting|northing
1513|Bridgnorth||457300|BNRTH|65951|f|f|f|||
1514|Bridgwater|BWT|344900|BRDGWTR|81924|t|f|f||330790|136975
1515|Bridgwater British Cellophane|BBC||BRDGWBC||t|f|f|||
1516|Bridgwater Charterail||344914|BRDGCRL|81925|f|f|f|||
1517|Bridgwater Courtauld||||81922|f|f|f|||
1518|Bridgwater Dunball||344925|BRDGDUN|81918|f|f|f|||
1519|Bridgwater Freight Depot|BWF|344962|BRDGWUY|81921|t|f|f|||
1520|Bridgwater Signal 80||344915|BRDG80|81926|f|f|f|||
1521|Bridgwater UK Fertilizers|BWU|344916|BRDGUKF||t|f|f|||
1522|Bridgwater Up Siding Ground Frame||344905|BRDGUGF|81923|f|f|f|||
1523|Bridlington|BDT|804900|BRDLNGT|19007|t|f|f||517930|466857
1524|Bridlington Carnaby||804905|BRDLCAR|19009|f|f|f|||
1525|Bridlington Quay Signal Box|||BRDLQSB|19008|f|f|f|||
1526|Bridport (by bus)|BPO|585000|||t|f|f|||
1527|Brierfield|BRF|255400|BRIERFL|29036|t|f|f||384530|436438
1529|Brierley Hill||||65728|f|f|f|||
1528|Brierley Hill|BHL|463600|BRIRLYH|65729|t|f|f|||
1530|Brierley Hill Advenza Freight||463602|BRIRADV|65726|f|f|f|||
1531|Brierley Hill Freightliner Heavy Haul||463603|BRIRLYF|65730|f|f|f|||
1532|Brierley Hill Powell Duffryn||||65727|f|f|f|||
1533|Brigg|BGG|646400|BRGG|26001|t|f|f||500400|406900
1534|Briggs ICI Sidings||280414|BRIGICI|34231|f|f|f|||
1535|Briggs Sidings EWS||280410|BRIGEWS|34233|f|f|f|||
1536|Briggs Sidings Steetley Company||280412|BRIGSSC|34232|f|f|f|||
1537|Brighouse|BGH|851400|BRHOUSE|18455|t|f|f||414660|422440
1538|Brighton|BTN|526800|BRGHTN|87980|t|t|t||531000|104920
1539|Brighton Ballast||526814|BRGHBAL|87977|f|f|f|||
1540|Brighton Loco Holding Sidings|XDV|526801|BRGHLHS|87983|f|f|f|||
1541|Brighton Locomotive Works||||87982|f|f|f|||
1542|Brighton London Road|LRB|528100|BRGHLRD|88141|t|f|f||531315|105780
1543|Brighton London Road (Ditchling Rise)||528150|BRGHBUS||f|f|f|||
1544|Brighton Montpelier Carriage Holding Sidings|XMP|526813|BRGHMHS|87981|f|f|f|||
1545|Brighton One Stop Shop (Old Steine)||3644|||f|f|f|||
1546|Brighton Reception Road||526840|BRGHRC|87976|f|f|f|||
1547|Brighton Self Service Ticket Machines||8882|||f|f|f|||
1548|Brighton Signal T1257||526809|BRGH257|87978|f|f|f|||
1549|Brighton Signal T1277||526830|BRGH277||f|f|f|||
1550|Brighton Signal T1280||526824|BRGH280|88095|f|f|f|||
1551|Brighton Storage Sidings|XBP|526811|BRGHTTY|87981|f|f|f|||
1552|Brighton Travel Centre||5271|||f|f|f|||
1553|Brighton [unknown feature]||||88770|f|f|f|||
1554|Brighton Wall Siding||526822|BRGHWS|87984|f|f|f|||
1555|Brightside|BGT|660100|BTSDE||t|f|f|||
1556|Brightside Loops||660109|BTSDLOP|25513|f|f|f|||
1557|Brightside Loop Signal 174||660110|BTSD174|25512|f|f|f|||
1558|Brightside Station Junction||660113|BTSDSJN|25511|f|f|f|||
1559|Brimsdown|BMD|681000|BRIMSDN|51914|t|f|f||536315|197035
1560|Brindle Heath Agecroft North Junction||292906|BRNDANJ|31561|f|f|f|||
1561|Brindle Heath Agecroft South Junction||292907|BRNDASJ|31562|f|f|f|||
1562|Brindle Heath Junction|||BRNDLHJ|31563|f|f|f|||
1563|Brindle Heath Loop||292904|BRNDLHS|31563|f|f|f|||
1564|Brindle Heath Refuse Transfer Station||292919|BRNDRTS|31552|f|f|f|||
1565|Brindle Heath Refuse Transfer Station Freightliner Heavy Haul||292920|BRNDFHH|31553|f|f|f|||
1566|Brinklow||108701|BRINKLW|69025|f|f|f|||
1567|Brinklow Loop|||BRINKLP||f|f|f|||
1568|Brinnington|BNT|260300|BRNGTN|32064|t|f|f||391120|392823
1569|Brinnington Junction|||BRNGTNJ||f|f|f|||
1570|Bristol Barton Hill EWS||322064|BRSTLBH|81434|f|f|f|||
1571|Bristol Barton Hill Freightliner Heavy Haul||322063|BRSTBRT|81433|f|f|f|||
1572|Bristol Barton Hill Wagon Repair Depot|XHL|322060|BRSTLCW|81432|f|f|f|||
1573|Bristol Bath Road Traction Maintenance Depot|XAB|321669|BRSTMD|81800|f|f|f|||
1574|Bristol East Depot Down Goods Loop||323184|BRSTEDT|81511|f|f|f|||
1575|Bristol East Depot EWS||323160|BRSTLED|81512|f|f|f|||
1576|Bristol East Depot Regional Civil Engineer|BDR|323112|BRSTEDC|81513|t|f|f|||
1577|Bristol East Junction|BEJ|322460|BRSTLEJ|81690|t|f|f|||
1578|Bristol Freightliner Terminal||326200|BRSTFLT|81851|f|f|f|||
1579|Bristol High Level Siding||323001|BRSTHLS|81704|f|f|f|||
1580|Bristol International Airport|XPB|323189|BRSTAIR||f|f|f|||
1581|Bristol Kingsland Road||322400|BRSTLKR|81608|f|f|f|||
1582|Bristol Kingsland Road Freightliner Heavy Haul||322414|BRSTKFL|81609|f|f|f|||
1583|Bristol Kingsland Road Signalling & Telecommunications Engineernulls Sidings||322413|BRSTSTE|81610|f|f|f|||
1584|Bristol Marsh Junction Depot||323008|BRSTMJD|81526|f|f|f|||
1585|Bristol Marsh Junction Up Ground Frame||323007|BRSTMJG|81527|f|f|f|||
1586|Bristol Parkway|BPW|323000|BRSTPWY|81109|t|f|f||362474|179570
1587|Bristol Parkway Royal Mail Terminal|BPO|323005|BRSTRMT|81110|t|f|f|||
1588|Bristol Parkway Royal Mail Terminal Up Spur||323006|BRSTPUS|81108|f|f|f|||
1590|Bristol Parkway Up Goods Loop|||BRSTPWG||f|f|f|||
1589|Bristol Parkway Up Reception|||BRSTPUR||f|f|f|||
1591|Bristol Pyle Hill Goods||||81811|f|f|f|||
1592|Bristol Signal B154|||BRSS154||f|f|f|||
1593|Bristol Signal B243|||BRSS243||f|f|f|||
1594|Bristol Signal B248|||BRSS248||f|f|f|||
1595|Bristol Signal B254|||BRSS254||f|f|f|||
1596|Bristol Signal B318|||BRSS318||f|f|f|||
1597|Bristol Signal B320|||BRSS320||f|f|f|||
1598|Bristol Signal B343||323566|BRSS343||f|f|f|||
1599|Bristol Signal B389|||BRSS389||f|f|f|||
1600|Bristol Signal B442||320757|BRSS442|81300|f|f|f|||
1601|Bristol Signal DM106|||BRSS106||f|f|f|||
1602|Bristol Stations||0400|||f|f|f|||
1603|Bristol Temple Meads|BRI|323100|BRSTLTM|81700|t|f|f||359700|172400
1604|Bristol Temple Meads High Level Siding||323105|BRSTMHL|81700|f|f|f|||
1605|Bristol Temple Meads In/Out Road 553||323286|BRSTOUT|81700|f|f|f|||
1606|Bristol Temple Meads Loco Spur||323183|BRSTSPU|81702|f|f|f|||
1607|Bristol Temple Meads Old Terminus||||81701|f|f|f|||
1608|Bristol Temple Meads Platform 2 Motorail||323287|BRSTPL2|81700|f|f|f|||
1609|Bristol Temple Meads Signal B175||320751|BRSS175|81498|f|f|f|||
1610|Bristol Temple Meads Signal B242||320752|BRSS242|81404|f|f|f|||
1611|Bristol Temple Meads Signal B423||320754|BRSS423|81703|f|f|f|||
1612|Bristol Temple Meads Station Approach|XDU|323106|BRSTSTA||f|f|f|||
1613|Bristol Temple Meads [unknown feature]||||81750|f|f|f|||
1614|Bristol [unknown feature]||||81950|f|f|f|||
1615|Bristol West Depot|XBW||BRSTLWD|81852|f|f|f|||
1616|Bristol West Depot Carriage Holding Sidings|||BRSTWCS||f|f|f|||
1617|Bristol West Junction||320755|BRSTLWJ|81812|f|f|f|||
1618|Brithdir|BHD|401200|BRITHDR|78349|t|f|f||315200|202000
1619|Briton Ferry|BNF|418700|BRITFRY|79600|t|f|f||274200|194800
1620|Briton Ferry East Junction||416720|BRITFEE|79605|f|f|f|||
1621|Briton Ferry Goods Loop|||BRITGL||f|f|f|||
1622|Briton Ferry Norbrit Wharfage||||7969279602|f|f|f|||
1623|Briton Ferry Up Freight Loop Junction||416759|BRITUFJ|79601|f|f|f|||
1624|Briton Ferry Yard|BFY|416700|BRITONF|79603|t|f|f|||
1625|Brittanic Farm||732885|BRTNFRM|48055|f|f|f|||
1626|Brixton|BRX|508100|BRIXTON|87248|t|t|t||531100|175500
1627|Brixton Junction||508101|BRIXJN||f|f|f|||
1628|Brixton LT|ZBX|077800|||t|f|f|||
1629|Broadbottom|BDB|289200|BRBM|32232|t|f|f||399000|393800
1630|Broadford|BDD|625800|||t|f|f|||
1631|Broad Green|BGE|224000|BROADGR|36602|t|f|f||340699|390337
1632|Broad Green WH Smith|||BROAWHS||f|f|f|||
1633|Broadholme||167901|BROHLME|57109|f|f|f|||
1634|Broadstairs|BSR|500600|BRSR|89474|t|t|t||639131|167997
1635|Broadway (Worcestershire)|BWY|028300|||t|f|f|||
1636|Brockenhurst|BCU|588600|BKNHRST|86901|t|f|f||430140|102008
1637|Brockenhurst Down Siding||588605|BKNHDS|86903|f|f|f|||
1638|Brockenhurst Signal BH16||588602|BKNH16|86904|f|f|f|||
1639|Brockenhurst Signal BH62||588604|BKNH62|86904|f|f|f|||
1640|Brockenhurst Up Sidings||588601|BKNHUPS|86902|f|f|f|||
1641|Brockholes|BHS|842900|BKHLS|18492|t|f|f||415340|411180
1642|Brocklesby Junction|BRB|640700|BKBY|21403|t|f|f|||
1643|Brockley|BCY|540400|BROCKLY|87629|t|f|f||536420|175790
1644|Brockley Whins|BNR|774000|BRWHINS|14003|t|f|f||434590|562900
1645|Brockley Whins Boldon East Junction||764401|BRWHBEJ|14007|f|f|f|||
1646|Brockley Whins Boldon North Junction||774006|BRWHBNJ|14001|f|f|f|||
1647|Brockley Whins Boldon West Junction||774005|BRWHBWJ|14002|f|f|f|||
1648|Brodick|BDC|904600|BDICK||t|f|f|||
1649|Brodie||897712|BRODIE|1123|f|f|f|||
1650|Bromborough|BOM|219000|BRMB|38218|t|f|f||334359|381001
1651|Bromborough Rake|BMR|219100|BRMBRK|38216|t|f|f||334200|381900
1652|Bromfield||417000|BRFLD|76376|f|f|f|||
1653|Bromford Bridge||111312|BRBG|66306|f|f|f|||
1654|Bromford Bridge Esso Siding||111311|BRBGES|66305|f|f|f|||
1655|Bromford Loop||111301|BRBGLP|66307|f|f|f|||
1656|Bromley Basin BSC Strip Mills||||65731|f|f|f|||
1657|Bromley By Bow LT|ZBW|053000|BROMBLT|52252|t|f|f|||
1658|Bromley Cross|BMC|269700|BRMCRSS|29177|t|f|f||372914|413133
1659|Bromley Cross North Junction||||29176|f|f|f|||
1660|Bromley North|BMN|509600|BROMLYN|88482|t|t|t||540380|169630
1661|Bromley South|BMS|506400|BROMLYS|88477|t|t|t||540430|168702
1662|Bromley South Signal VS617||605401|BROM617|88500|f|f|f|||
1663|Bromsgrove|BMV|471500|BRMSGRV|67003|t|f|f||396800|269400
1664|Bromsgrove Bus Station|XZG|471501|BRMSBUS||f|f|f|||
1665|Bromsgrove RMC||471502|BRMSRMC|67006|f|f|f|||
1666|Bromsgrove Signal G463||471504|BRMS463|67004|f|f|f|||
1667|Bromsgrove South|||BRMSGRS||f|f|f|||
1668|Bromsgrove Unitank||471512|BRMSGRU|67006|f|f|f|||
1669|Bromsgrove Up Goods Loop||471503|BRMSUGL|67002|f|f|f|||
1670|Brondesbury|BSY|143700|BRBY|72415|t|f|f||524755|184450
1671|Brondesbury Park|BSP|143800|BRBYPK|72414|t|f|f||524225|183940
1672|Brookgate Sidings||523815|BROKGTS|89307|f|f|f|||
1673|Brookhouse||||26701|f|f|f|||
1674|Brooklands|BOK|280700|BRKLNDS||t|f|f|||
1675|Brookmans Park|BPK|607400|BRKMNPK|53995|t|f|t||524119|204007
1676|Brookwood|BKO|568700|BRKWOOD|86041|t|f|f||495200|156954
1677|Brookwood Country End||568704|BRKWDCE|86046|f|f|f|||
1678|Brookwood ETC|||BRKWETC||f|f|f|||
1679|Brookwood London End||568703|BRKWDLE|86044|f|f|f|||
1680|Broome|BME|417500|BROOME|79099|t|f|f||339900|280900
1681|Broomfleet|BMF|805000|BRFT|19213|t|f|f||487600|427900
1682|Broomhill Holehouse Junction||946317|BRMHSJN|8631|f|f|f|||
1683|Broomhill Opencast||946316|BRMHILL|8632|f|f|f|||
1684|Brora|BRA|861800|BRORA|1021|t|f|f||290657|904141
1685|Brora Civil Engineer||861863|BRORACE|1022|f|f|f|||
1686|Brora Dalchalm Level Crossing||861820|BRORDLC|1021|f|f|f|||
1687|Brora Level Crossing||861810|BRORALC|1021|f|f|f|||
1688|Brotton Carlin How Freight Depot|||BROTNCH||f|f|f|||
1689|Brotton Freight Depot|||BROTTON||f|f|f|||
1690|Brough|BUH|805100|BROUGH|19211|t|f|f||493822|426584
1691|Brough Crabley Creek Level Crossing||805105|BROUCCL||f|f|f|||
1692|Brough Crossover||805103|BROUXO|19210|f|f|f|||
1693|Broughton Lane BOC|||BRGLBOC||f|f|f|||
1694|Broughton Lane Junction||664912|BRGLJN|25155|f|f|f|||
1695|Broughty Ferry|BYF|902300|BRFRY|3041|t|f|f||346300|730900
1696|Brownhill Civil Engineernulls Sidings||950368|BROWNCE|8007|f|f|f|||
1697|Brownhill Down Passenger Loop||950370|BROWDPL|8008|f|f|f|||
1698|Brownhill Junction|XBA|950366|BROWNHJ|8007|f|f|f|||
1699|Brownhills|BOL|118800|BRWNHLS|65319|t|f|f|||
1700|Brownhill Up Passenger Loop||950372|BROWUPL|8007|f|f|f|||
1701|Broxbourne|BXB|681200|BROXBRN|51722|t|f|f||537403|207228
1702|Broxbourne CEGB|BXC|681216|BROXCGB|47701|t|f|f|||
1703|Broxbourne Down Passenger Loop||681286|BROXDPL|51725|f|f|f|||
1704|Broxbourne Down Tamper Siding||681255|BROXDSG|51721|f|f|f|||
1705|Broxbourne Junction||681213|BROXBNJ|51720|f|f|f|||
1706|Broxbourne Reception|BXR|681214|BROXBNR|51721|t|f|f|||
1707|Broxbourne Signal BN21||681238|BROXS21|51725|f|f|f|||
1708|Broxbourne Signal BN30||681254|BROXS30|51724|f|f|f|||
1709|Broxbourne Signal L1226||681287|BROXS12|51726|f|f|f|||
1710|Broxbourne Signal L1484||681278|BROXS14|51726|f|f|f|||
1711|Broxbourne Signal L5315/BN31||681217|BROXS31|51724|f|f|f|||
1712|Broxbourne Signal L5331||681275|BROXS53|51723|f|f|f|||
1713|Bruce Grove|BCV|695800|BRUCGRV|51952|t|f|f||533795|190110
1714|Brundall|BDA|728900|BRUNDAL|48215|t|f|f||632904|307967
1715|Brundall Gardens|BGA|700600|BRUNDLG|48216|t|f|f||631470|308340
1716|Brunstane|BSU|880700|BRUSTAN|4635|t|f|f||331330|672710
1717|Brunswick|BRW|362300|BNWK|36082|t|f|f||335173|387821
1718|Bruton|BRU|570200|BRUTON|82299|t|f|f||368800|134800
1719|Bruxelles Forest||||856|f|f|f|||
1720|Bruxelles Forest Depot||081401|BRUXFOR|855|f|f|f|||
1721|Bruxelles Midi|BXS|081400|BRUXMID|850|t|f|f|||
1722|Bryn|BYN|222200|BRYN|35394|t|f|f||357165|400547
1723|Brynteg Loading Pad||858200|BLNNBLP|79501|f|f|f|||
1724|Buckenham|BUC|729000|BUCKNHM|48213|t|f|f||635120|305650
1725|Buckfastleigh|BFL|034800|BUCFAST|83709|t|f|f|||
1726|Buckhurst Hill LT|ZBI|053100|||t|f|f|||
1727|Buckingham Tesco|XEY|137801|BUCVBUS||f|f|f|||
1728|Buckland Junction|XUK|503380|BCKJN|89521|f|f|t|||
1729|Buckley|BCK|242200|BCKY|41019|t|f|f||329500|363400
1730|Buckley Wells Carriage Sidings (East Lancashire Railway)|XBU|262301|BCKLWCS||f|f|f|||
1731|Bucknell|BUK|418200|BKNELL|79097|t|f|f||335500|273700
1732|Bude||303200|BUDE||f|f|f|||
1733|Bude Strand|BUA|033700|BUDESTD||t|f|f|||
1734|Bugle|BGL|350200|BUGLE|85231|t|f|f||201690|59290
1735|Bugle Rocks Dries ECC Siding|RDE|350205|BUGLROC|85230|t|f|f|||
1736|Buildwas|BWL|466500|BLDWAS||t|f|f|||
1737|Builth Road|BHR|431700|BUILTHR|79080|t|f|f||302500|253300
1738|Bulwell|BLW|186500|BULWELL|55116|t|f|f||454040|345010
1739|Bulwell South Junction||186501|BULWLSJ|55115|f|f|f|||
1740|Bures|BUE|708500|BURES|50109|t|f|f||590310|233920
1741|Burgess Hill|BUG|548300|BURGESH|87971|t|f|t||531600|118800
1742|Burghead||897720|BGHD|2003|f|f|f|||
1743|Burghead DCL Cereals||862000|BGHDDCL|2001|f|f|f|||
1744|Burley In Wharfedale|BUW|856500|BURLYIW|17045|t|f|f||416300|445805
1745|Burley Park|BUY|850000|BRLEYPK|17101|t|f|f||427900|435165
1746|Burnage|BNA|294500|BAGE|32522|t|f|f||385764|391618
1747|Burnden Junction||259903|BDENJT|31615|f|f|f|||
1748|Burneside (Cumbria)|BUD|197500|BNSD|11005|t|f|f||350270|495765
1749|Burngullow ECC|BGC|350315|BGLWECC|85402|t|f|f|||
1750|Burngullow EWS||||85400|f|f|f|||
1751|Burngullow Freightliner Heavy Haul||350320|BGLWFHH|85404|f|f|f|||
1752|Burngullow Junction|BGW|350300|BGLWJN|85401|t|f|f|||
1753|Burngullow Marcroft||||85403|f|f|f|||
1754|Burnham (Bucks)|BNM|317600|BNHAM|73996|t|f|f||494008|181378
1755|Burnham Market|BMK|023800|BRNAMKT||t|f|f|||
1756|Burnham On Crouch|BUU|687300|BRNMONC|50304|t|f|f||594842|196511
1757|Burnhouse||972925|BNHOUSE|7355|f|f|f|||
1758|Burnley Barracks|BUB|274300|BURNLYB|29043|t|f|f||383095|432760
1759|Burnley Central|BNC|255000|BURNLYC|29041|t|f|f||383960|433050
1760|Burnley Manchester Road|BYM|254900|BURNMR|29005|t|f|f||383700|432100
1761|Burnley Stations||0427|||f|f|f|||
1762|Burnley Towneley Tunnel||254905|BURNTTL|29006|f|f|f|||
1763|Burnmouth||779110|BUMOUTH|4844|f|f|f|||
1764|Burn Naze Holding Sidings||265011|BRNNZHS|30015|f|f|f|||
1765|Burn Naze ICI Power Station||265013|BRNNZPS|30011|f|f|f|||
1766|Burn Naze ICI Sidings||265012|BRNNICI|30012|f|f|f|||
1767|Burn Naze VCM Sidings||265015|BRNNVCM|30013|f|f|f|||
1768|Burnside (Strathclyde)|BUI|976700|BRSDE|7553|t|f|f||262000|660400
1769|Burntisland|BTS|910700|BISLND|3291|t|f|f||323300|685600
1770|Burntisland Forth Ports Authority||||3290|f|f|f|||
1771|Burntisland Junction||910761|BISLNDJ|3291|f|f|f|||
1772|Burnt Oak LT|ZBO|053200|||t|f|f|||
1773|Burnt Tree|BNQ|121202|BUNT||t|f|f|||
1774|Burscough Bridge|BCB|227900|BRSCGHB|35022|t|f|f||344457|412406
1775|Burscough Junction|BCJ|228000|BRSCGHJ|30157|t|f|f||344465|411545
1776|Bursledon|BUO|592700|BURSLDN|86223|t|f|f||448967|109663
1777|Burston||734877|BUURSTN|48999|f|f|f|||
1778|Burton Birmingham Curve Junction||165808|BURTBCJ|57800|f|f|f|||
1779|Burton Branston Junction||165801|BURTBJN|57721|f|f|f|||
1780|Burton East Loop Repair Point||165818|BURTNRP|57702|f|f|f|||
1781|Burton Joyce|BUJ|620000|BRTJYC|55499|t|f|f||464490|343330
1782|Burton Leicester Junction|BJL|165805|BURTNLJ|57715|t|f|f|||
1783|Burton MOD||||36709|f|f|f|||
1784|Burton Mosley Street||165815|BURTNMS|57705|f|f|f|||
1785|Burton On Trent|BUT|165800|BURTNOT|57712|t|f|f||424200|323200
1786|Burton On Trent Allied Breweries||||57708|f|f|f|||
1787|Burton On Trent Cotrali Pickfords||||57704|f|f|f|||
1788|Burton On Trent East Yard Loop||165804|BURTNEY|57703|f|f|f|||
1789|Burton On Trent West Yard||165816|BURTNWY|57706|f|f|f|||
1790|Burton On Trent West Yard Maurice H||165806|BURTNMH|57704|f|f|f|||
1791|Burton Point||213930|BRTPNT|38037|f|f|f|||
1792|Burton Wagon Repair Depot|||BURTNMD|57702|f|f|f|||
1793|Burton Wetmore Junction||165817|BURTWJN|57710|f|f|f|||
1794|Burton Wetmore Sidings||165809|BURTWS|57711|f|f|f|||
1795|Bury|BUR|262300|BURY||t|f|f|||
1796|Bury East Lancashire Railway||262302|BURYELR|31020|f|f|f|||
1797|Bury Electric Multiple Unit Depot|||BURYCRS||f|f|f|||
1798|Bury St Edmunds|BSE|700800|BSTEDMS|46301|t|f|f||585300|265200
1799|Bury St Edmunds Carriage Maintenance Depot||700814|BSTEDCM|46303|f|f|f|||
1800|Bury St Edmunds Down Goods Loop||700817|BSTEDGL|46305|f|f|f|||
1801|Bury St Edmunds EWS Carriage & Wagon||||46304|f|f|f|||
1802|Bury St Edmunds Freight Depot Tarmac||700819|BSTETAR|46309|f|f|f|||
1803|Bury St Edmunds Freightliner Heavy Haul||700818|BSTEFHH|46306|f|f|f|||
1804|Bury St Edmunds Reception||700816|BSTEDMR|46302|f|f|f|||
1805|Bury St Edmunds Signal BY19||700802|BSTED19|46308|f|f|f|||
1806|Bury Street Junction|XSG|694111|BYSTJN|51948|f|f|f|||
1807|Busby|BUS|979100|BUSBY|7613|t|f|f||258220|656430
1808|Busby Junction||981260|BUSBYJ|7234|f|f|f|||
1809|Bushbury Junction|XBJ|116700|BSBYJN|65006|f|f|f|||
1810|Bushbury Junction Down Goods Loop||116701|BSBYJDG|65007|f|f|f|||
1811|Bushey|BSH|139500|BUSHEY|72003|t|f|f||511858|195322
1811|Bushey|BSH|139500|BUSHEY|72003|t|f|f||511818|195340
1812|Bush Hill Park|BHK|691300|BHILLPK|51947|t|f|f||533700|195400
1813|Busigny||||613|f|f|f|||
1814|Business Direct||3123|||f|f|f|||
1815|Busto Arsizio||087201|BUSTARZ|309|f|f|f|||
1816|Butlers Lane|BUL|117900|BTLRSLA|65345|t|f|f||411070|299420
1817|Butterley Midland Railway Centre||175813|BUTTMRC|56513|f|f|f|||
1818|Butterwell Junction||762701|BUTRWLJ|12121|f|f|f|||
1819|Butterwell Opencast||762700|BUTROCT|12209|f|f|f|||
1820|Butterwell Opencast Freightliner Heavy Haul||762705|BUTRFHH|12210|f|f|f|||
1821|Butterwell Opencast GB Railfreight||762702|BUTRGBF|12208|f|f|f|||
1822|Buxted|BXD|532400|BXTD|87768|t|f|f||549688|123341
1823|Buxton|BUX|294600|BUXTON|34201|t|f|f||405910|373750
1824|Buxton Holding Sidings||294602|BUXTNHS|34202|f|f|f|||
1825|Buxton (Market Place)|BUZ|202000|BUXTMP||t|f|f|||
1826|Buxton No 1 Signal Box||294601|BUXTNO1|34203|f|f|f|||
1827|Buxton Traction Maintenance Depot||294660|BUXTDMU|34202|f|f|f|||
1828|Buxton Up Relief Sidings||294603|BUXTURS|34199|f|f|f|||
1830|Byfleet Junction||568960|BYFLETJ|86021|f|f|f|||
1829|Byfleet & New Haw|BFN|568900|BYFLANH|86022|t|f|f||505854|162285
1831|Bynea|BYE|412400|BYNEA|79054|t|f|f||254960|199115
1832|Byrehill Junction||951763|BYREHJ|8398|f|f|f|||
1833|Cadder||995102|CDDR|6449|f|f|f|||
1834|Cadder Civil Engineernulls Sidings||995176|CDDRCES|6450|f|f|f|||
1835|Cadder Down Passenger Loop||995101|CDDRDPL|6451|f|f|f|||
1836|Cadder Loops/Cadder Yard DRS||996400|CADDER|6452|f|f|f|||
1837|Cadder Up Passenger Loop||995100|CDDRUPL|6450|f|f|f|||
1838|Cadoxton|CAD|381100|CADOXTN|78719|t|f|f||313240|168880
1839|Cadoxton English Welsh & Scottish Railway||381101|CADOEWS|78720|f|f|f|||
1840|Cadoxton Signal B9||381102|CADOB9|78721|f|f|f|||
1841|Cadwell Signal K718||608712|CDWL718||f|f|f|||
1842|Caerau|||CAEU||f|f|f|||
1843|Caerau Park|XKC|383101|CAEUPK||f|f|f|||
1844|Caerau Square|CSQ|383100|CAEUSQU||t|f|f|||
1845|Caergwrle|CGW|253600|CAERGWL|41027|t|f|f||330950|357240
1846|Caerphilly|CPH|381200|CRPHLY|78374|t|f|f||315650|186560
1847|Caersws|CWS|441200|CARSWS|64312|t|f|f||302890|291880
1848|Caerwent||377600|CARWENT|76083|f|f|f|||
1849|Caerwent Branch Junction||368025|CAEWBJ|76082|f|f|f|||
1850|Cahir|CAH|039200|||t|f|f|||
1851|Calais Caffiers||080617|CALACA|716|f|f|f|||
1852|Calais Coquelles Eurotunnel||080605|CALACE|715|f|f|f|||
1853|Calais Eurotunnel Emergency Siding||080602|CALAEES|709|f|f|f|||
1854|Calais Frethun Depot||080607|CALAFD|719|f|f|f|||
1855|Calais Frethun Gare Voyageurs|FRH|080100|CALAFGV|711|t|f|f|||
1856|Calais Frethun GB Railfreight||080101|CALAFGB|712|f|f|f|||
1857|Calais Frethun (Local)||080606|CALAFL|717|f|f|f|||
1858|Calais Frethun (Traffic for Continent)||||721|f|f|f|||
1859|Calais Frethun (Traffic for Continent via Evian)||||724|f|f|f|||
1860|Calais Frethun (Traffic for Continent via Gremberg)||||726|f|f|f|||
1861|Calais Frethun (Traffic for Continent via Lille)||||722|f|f|f|||
1862|Calais Frethun (Traffic for Continent via Locate)||||723|f|f|f|||
1863|Calais Frethun (Traffic for Continent via Modane)||||725|f|f|f|||
1864|Calais Frethun (Tunnel)||080604|CALAFT|713|f|f|f|||
1865|Calais Maritime|CAL|080600|CALAISM||t|f|f|||
1866|Calais Tunnel South Holding Sidings||080601|CALATSH|707|f|f|f|||
1867|Calais Ville Gare Vyageurs||080608|CALAVGV|729|f|f|f|||
1868|Calder Bridge Junction||858417|CLDBDGJ|18054|f|f|f|||
1869|Caldercruix|CAC|099200|CLDRCRX|7334|t|f|f||282030|667700
1870|Caldercruix Crossover||099201|CLDRCXO|7335|f|f|f|||
1871|Caldicot|CDT|368000|CDCOT|76078|t|f|f||347400|187600
1872|Caldicot Level Crossing Ground Frame||368012|CDCOCGF|76078|f|f|f|||
1873|Caldon Low||||43431|f|f|f|||
1875|Caldon Low (Ballast)||128705|CALDNLB|43430|f|f|f|||
1874|Caldon Low Quarry||128711|CALDONL|43432|f|f|f|||
1876|Caldon Quarry|||CALDONQ||f|f|f|||
1877|Caledonian Road & Barnsbury|CIR|143900|CLDNNRB|52058|t|f|f||530695|184363
1878|Caledonian Road LT|ZCR|053400|||t|f|f|||
1879|Callander|CBU|707100|||t|f|f|||
1880|Callington New Road Bus Stop|XAH|358010|CALLNRD||f|f|f|||
1881|Calne Strand|XAI|326703|CALNSTR||f|f|f|||
1882|Calstock|CSK|356200|CALSTCK|84209|t|f|f||243450|68750
1883|Calvert|CVT|149300|CALVERT|70331|t|f|f|||
1884|Calvert Advenza Freight||149303|CALVADV|70333|f|f|f|||
1885|Calverton Colliery||164000|CLVTBC|55101|f|f|f|||
1886|Calvert Shanks & McEwan Freightliner||149302|CALVFHH|70332|f|f|f|||
1887|Camberley|CAM|568200|CMBLEY|87099|t|f|f||487573|160441
1888|Camberley Shunt Signal 4||568201|CMBL4|87094|f|f|f|||
1889|Camborne|CBN|350400|CBORNE|85622|t|f|f||164830|39696
1890|Camborne Roskear Junction||353001|CBORRXO|85621|f|f|f|||
1891|Cambria Junction||542160|CBRIJN|87605|f|f|f|||
1892|Cambridge|CBG|702200|CAMBDGE|47221|t|t|t||546200|257300
1893|Cambridge Bus Station|XEC|702201|CAMVBUS||f|f|f|||
